"study","group_1","group_2","combination","condition","RR","DET","maxL","L","ENTR","LAM","TT"
"Study2","10","7","c","Synchronous",3.947694703758,96.5914209193187,195,10.7243641447545,2.50088839666037,99.6566236760155,13.3313896987366
"Study2","10","7","c","TurnTaking",7.01705749632579,97.7077418546229,264,16.909746781723,2.93284609482017,99.8961903775837,18.9232
"Study2","10","7","d","Conversation",3.14763642871086,94.8090601519744,190,9.62965019433648,2.4178889028385,97.8764889177747,12.5369174511787
"Study2","10","7","d","Synchronous",2.69359580557318,94.2087518188594,242,9.70006577504933,2.39104609935383,96.5759307236398,11.7385040117332
"Study2","10","7","d","TurnTaking",2.49410701233508,93.1169557918299,145,7.50754017305315,2.23620483780354,95.9402380970633,8.60822615035422
"Study2","10","8","a","Conversation",4.3300195454661,96.4044755294159,272,13.444978139048,2.60054520761254,97.3988413783359,18.8921719767044
"Study2","10","8","a","Synchronous",4.83793782044823,96.7325582314398,274,10.9626477964887,2.41171925848409,98.0228578654927,18.4800327819997
"Study2","10","8","a","TurnTaking",3.95042873648112,94.8679230672436,181,8.67835480586178,2.3278019100569,95.9113743938206,9.90374812593703
"Study2","10","8","b","Conversation",3.90681804668084,96.1427222143378,231,11.6192926425361,2.68411151292894,97.6353252651206,14.4029021079988
"Study2","10","8","b","Synchronous",3.51977078481461,95.0069800159698,227,11.9699562003832,2.70642553518115,96.3263931514365,13.5721720495944
"Study2","10","8","b","TurnTaking",5.42944484414006,94.8521022607226,301,11.2121628371628,2.61389490080603,95.7074441862103,12.3204895738894
"Study2","10","8","c","Conversation",6.71725073317007,98.2845530075113,310,17.5739223370146,2.98010940792447,99.2764781392225,24.0747515184981
"Study2","10","8","c","Synchronous",7.31413022675838,98.1014544275871,227,14.9997202238209,2.7951561603264,99.5174562678405,24.795493031132
"Study2","10","8","c","TurnTaking",9.85725863701012,98.5548062245549,318,22.7479070600349,3.27566727179122,99.7022718500459,30.4325380380084
"Study2","10","8","d","Conversation",1.9514301954604,93.1153066123233,160,8.99063475546306,2.33659400197469,96.9686578423976,12.7116619573594
"Study2","10","8","d","Synchronous",2.47303775316808,93.7270485276268,188,12.7240764063812,2.7630657335543,96.8194574368569,17.2120670698186
"Study2","10","8","d","TurnTaking",1.92978736299485,88.4133353148066,93,5.86064228016024,2.03069362484898,93.530489919255,8.97215358296902
"Study2","10","9","a","Conversation",3.37704662902369,95.3400289868201,217,9.68044378017935,2.39488331970019,97.2892794057702,10.965033180194
"Study2","10","9","a","Synchronous",3.65500024950438,95.6666841031543,240,9.92812550893003,2.36265105475012,97.58330281948,11.8219264892269
"Study2","10","9","a","TurnTaking",2.59385140895413,95.8442668868119,141,10.5689669186377,2.62999325947878,96.8415543827579,11.3037081648456
"Study2","10","9","b","Conversation",3.70535998511769,95.8643784442014,198,11.5461438070971,2.5974143419237,97.7059297021733,14.8504431025018
"Study2","10","9","b","Synchronous",2.10086515884443,92.7513810143516,153,7.88655884856457,2.28057202757173,95.6754001983928,9.35578891163122
"Study2","10","9","b","TurnTaking",2.32090699528083,92.6123632529327,133,7.10599835661463,2.19661870321881,95.4140305786213,9.07363885624755
"Study2","10","9","c","Conversation",4.87065061757593,96.6928750593712,263,12.6367413943467,2.68017332210949,98.1484025703328,15.8742936956384
"Study2","10","9","c","Synchronous",3.66404358851163,96.1897903915092,239,10.4229899355422,2.58021215105594,98.130899641521,13.3660980810235
"Study2","10","9","c","TurnTaking",4.20174943679882,96.968152634381,180,10.9542510537679,2.60648729029099,98.8537860552312,11.9229460512595
"Study2","10","9","d","Conversation",2.73271350453477,94.3042447054873,162,8.64315485732607,2.34721628988177,97.8402166080136,11.1287601464269
"Study2","10","9","d","Synchronous",2.23576959866503,92.7073089388485,192,7.6056545531079,2.15782723310263,96.5409315968154,9.78962885882761
"Study2","10","9","d","TurnTaking",1.37605970056797,90.2171647701221,128,6.1517764092847,2.064393443199,95.2523863115335,7.78072863466122
"Study2","5","10","a","Conversation",2.75110608830849,95.1853113077078,122,9.73800213295414,2.53079607631766,97.1652547378955,13.3524973736988
"Study2","5","10","a","Synchronous",2.72372752285737,95.5749292788904,134,13.8864864864865,3.00681442690025,96.5745010915268,19.3069042941342
"Study2","5","10","a","TurnTaking",1.91338316665612,88.7116919971622,95,6.69987170779564,2.28810811914172,90.4713370704557,7.82211663066955
"Study2","5","10","b","Conversation",1.30501308798672,90.2002724995239,107,5.95665634674923,2.03626795105628,91.8587104619306,6.3953488372093
"Study2","5","10","b","Synchronous",2.62673627807139,90.4423967158704,128,7.07613895216401,2.12025041231064,92.0531633039276,8.18841048883134
"Study2","5","10","b","TurnTaking",4.00191649958158,93.8857702505793,134,8.8533135108348,2.31656291171443,94.9119747748609,9.72037381348469
"Study2","5","10","c","Conversation",6.12585842413795,97.8936034081865,209,15.7260466282276,2.89509320391074,99.6379582091416,22.9656139846054
"Study2","5","10","c","Synchronous",4.36148960044693,97.4566240871113,208,10.9344875073775,2.47317383641731,98.8247516679671,12.2795903916335
"Study2","5","10","c","TurnTaking",4.86552669610882,97.4733284869442,161,13.2912714997589,2.68553743576271,98.6510010413187,17.9207652223571
"Study2","5","10","d","Conversation",0.613780786785789,85.4561878952123,94,4.72185886402754,1.86274372090046,88.7237952839298,5.15716096324461
"Study2","5","10","d","Synchronous",1.22455987330913,87.7531265125139,101,6.77005540833534,2.10045950076125,91.3300754110134,7.48317768965076
"Study2","5","10","d","TurnTaking",2.33299027277043,89.2135973251164,117,6.42140034212234,2.09857822571929,93.6897659476824,8.06973953554034
"Study2","5","6","a","Conversation",4.93724247753839,96.0764571941944,185,13.1501563576615,2.68148180602504,97.2029461422885,15.9545541219094
"Study2","5","6","a","Synchronous",15.7195410113512,99.3006482686484,458,43.529537214758,3.60264895217592,99.6397426385629,81.890043982407
"Study2","5","6","a","TurnTaking",2.25020452667871,92.4643567216681,133,6.13894059908614,2.01474978855165,94.5706663041447,7.29001833900969
"Study2","5","6","b","Conversation",0.799083200439587,87.3932288551262,97,4.79343832020997,1.86706302502207,92.051680823065,5.71579260139652
"Study2","5","6","b","Synchronous",0.60764355249123,79.3656786860487,66,4.21594517800435,1.62951202919334,86.9548801208231,5.40927774515561
"Study2","5","6","b","TurnTaking",1.11538975548379,87.7337630058794,107,6.56613213598461,2.1814051025544,94.09143111812,8.78975180144115
"Study2","5","6","c","Conversation",2.74584833307172,94.9282123410714,142,8.61946007460327,2.32878838333178,96.857636229442,9.41935265438787
"Study2","5","6","c","Synchronous",1.1653097515682,91.7309269893355,99,5.70859710026547,1.94402233893574,93.9589827727646,5.99100324301705
"Study2","5","6","c","TurnTaking",4.35357428892684,96.2390429848754,210,10.495904976292,2.46553336296117,97.3786603896218,12.7759276330952
"Study2","5","6","d","Conversation",2.30591761307854,93.6637702308305,143,8.60627761694347,2.26143297420529,95.9165229503847,9.86803719184509
"Study2","5","6","d","Synchronous",7.34984472414853,91.5952177803675,164,8.33051007854642,2.10142324445521,92.3261815079183,8.76031099592743
"Study2","5","6","d","TurnTaking",0.832426928195697,84.5242196651278,115,4.88141663350577,1.85079936992934,93.0705803991823,7.37165726760051
"Study2","5","7","a","Conversation",5.24232611504083,97.343841746507,171,15.956836252765,2.96196709443292,98.4634910446292,21.8042319496043
"Study2","5","7","a","Synchronous",5.99661324086312,97.397694846084,177,14.2363221176251,2.82600302932241,98.5152003060785,18.5289038138642
"Study2","5","7","a","TurnTaking",6.07563252229432,97.4176941135006,144,13.8387125614662,2.7275809952427,98.4737772910648,21.3021102791014
"Study2","5","7","b","Conversation",1.35885250161126,90.7799023539178,111,6.08162880573098,2.02331009151857,92.8861874410817,6.5747435514391
"Study2","5","7","b","Synchronous",2.76500568124352,89.3963490526898,116,6.86481176657994,2.0398667466848,90.9756603512654,7.83335317932841
"Study2","5","7","b","TurnTaking",5.44812421456306,94.9346743543763,154,8.74008141638666,2.13553737963373,95.9902722165099,9.83606026825848
"Study2","5","7","c","Conversation",5.36120874072173,96.8510507790351,213,11.9591791800608,2.66877628830395,98.5014853197628,14.8379801235563
"Study2","5","7","c","Synchronous",4.77658459661259,98.2072024112107,206,17.569208736126,2.73907484036926,99.8090724604035,21.4776916451335
"Study2","5","7","c","TurnTaking",5.02954954038616,96.7346349177386,263,9.57028958254983,2.41995596525327,99.806891098744,12.9439952672057
"Study2","5","7","d","Conversation",1.59766930402042,92.1928103010866,146,6.72016748080949,2.07646283104385,94.1398209755397,7.20789811251603
"Study2","5","7","d","Synchronous",3.03577051638231,90.9630814575959,165,7.94329868558544,2.22008024902961,92.4978901890643,8.56135237540076
"Study2","5","7","d","TurnTaking",2.67973445085806,94.4213755707763,149,9.17187608288863,2.38314874056986,96.1123002283105,10.6964427505161
"Study2","5","8","a","Conversation",6.08635834297733,97.658156870506,169,20.0660943651972,2.87536396534941,98.4061016714886,27.9077951002227
"Study2","5","8","a","Synchronous",10.8956174984977,97.5614207176586,369,23.7549241615039,2.97592635353736,98.1343473462003,32.5731842273866
"Study2","5","8","a","TurnTaking",14.866656635507,97.3555166600007,247,13.9660910633902,2.37485456205344,98.0746700343758,15.8342676799136
"Study2","5","8","b","Conversation",2.18388033425558,92.1803458087109,111,7.09569377990431,2.17431795930819,93.1818778726198,7.41876350456541
"Study2","5","8","b","Synchronous",6.39616440063789,91.6240961550533,164,8.41862125789618,2.1498270651533,92.0808386365878,8.7380155443354
"Study2","5","8","b","TurnTaking",8.38611960265136,96.3855229410088,141,10.5337236825713,2.22131330894019,96.8009119407239,11.1427109303241
"Study2","5","8","c","Conversation",7.4250975409192,97.8066742197961,227,17.2443818949471,2.92016912537434,99.1937892676898,27.3464186838929
"Study2","5","8","c","Synchronous",9.93757801791805,98.6876938349892,228,22.7120212530441,3.24736748597175,99.52498403146,34.7977263554419
"Study2","5","8","c","TurnTaking",17.5377874868867,99.0269173032331,354,29.7376088522229,3.21809153054699,99.8458504444064,61.4476350218048
"Study2","5","8","d","Conversation",2.48510191154773,94.4022157254962,154,8.56393076493579,2.29916185920296,95.476996460994,8.99608553823849
"Study2","5","8","d","Synchronous",5.67550778922099,90.8667677278087,163,7.58521976322376,2.00744272417349,92.4133400707428,8.48527683266316
"Study2","5","8","d","TurnTaking",4.01187755586652,92.1457709830534,112,8.27364142062473,2.21467676570005,95.5627251758516,12.4141026434718
"Study2","5","9","a","Conversation",2.73001771003155,95.1488199453743,137,9.66239954484034,2.46034048009098,97.2000840394986,12.1822171508821
"Study2","5","9","a","Synchronous",2.98692119045521,96.5396506365737,229,13.6650357887107,2.63690645462333,97.7449480563539,16.6289883480344
"Study2","5","9","a","TurnTaking",4.1900294223983,96.0224317146847,159,11.2943860025762,2.63850906881423,97.0153408105716,13.3016141141141
"Study2","5","9","b","Conversation",1.15884749240446,89.4509338084868,122,5.67074573789353,1.95333914136876,91.7920543786709,6.03765599565925
"Study2","5","9","b","Synchronous",2.87733045221092,89.6242400079737,157,6.93470437017995,1.98906671292963,90.9744509784378,7.58767457326535
"Study2","5","9","b","TurnTaking",3.65763868667775,93.9312522215485,104,8.54524703980218,2.28467297782913,95.4309281368265,10.6895602787048
"Study2","5","9","c","Conversation",5.06296974458207,97.1391024575926,178,12.2697829716194,2.67113141097726,98.567285470447,16.4794494601932
"Study2","5","9","c","Synchronous",3.26724558056994,97.2760095734658,181,14.9062051649928,2.66403664041953,98.4925887564442,18.7076803378904
"Study2","5","9","c","TurnTaking",8.37275534479499,98.3894539260058,178,15.9766027661389,2.71711299785161,99.4747971118408,19.7124756776325
"Study2","5","9","d","Conversation",0.512296551161113,83.5305094233999,62,4.40070782540307,1.69708818354944,87.6133607016234,4.7637987012987
"Study2","5","9","d","Synchronous",2.22265388923803,88.7667415034451,130,6.35665886411236,1.87716591055565,91.4505432117881,7.97674069627851
"Study2","5","9","d","TurnTaking",1.44693424115966,90.6104651162791,110,6.85054945054945,2.2184325776009,94.0446617336152,8.78679012345679
"Study2","6","10","a","Conversation",0.91685691774328,91.8340110520279,127,7.09162640901771,2.11654333992697,96.7740590136586,11.2695483244293
"Study2","6","10","a","Synchronous",0.640432826058735,86.4764008717199,80,5.02986629623198,1.87367751315379,94.7846075767979,7.55412800380681
"Study2","6","10","a","TurnTaking",0.936358409894216,87.7039305768249,125,6.34742130929511,2.04725627800573,95.107708014293,8.38958933717579
"Study2","6","10","b","Conversation",3.58735683849457,94.7157201330264,187,10.053003733454,2.433021877576,95.789630766607,12.775037316085
"Study2","6","10","b","Synchronous",6.57320735879247,97.5468509582523,283,13.238946786673,2.63814703359213,98.9648141522907,21.8287034066851
"Study2","6","10","b","TurnTaking",2.46322964976276,91.3797385823838,140,6.09053285049146,1.95295240103547,92.3973113105033,6.31785373102643
"Study2","6","10","c","Conversation",1.84254686428434,94.1082472087328,104,6.6108316932721,2.03937070956008,99.4344830448678,13.4192690099426
"Study2","6","10","c","Synchronous",1.18544217434755,89.9537119171653,112,6.03745399437108,1.98193666228177,98.7629630824315,8.98943041691133
"Study2","6","10","c","TurnTaking",2.47615416809024,93.4353573414047,157,8.69012567324955,2.34363567688674,98.7622768546544,13.9990149939805
"Study2","6","10","d","Conversation",1.56828323202436,90.8968998012849,137,7.01807228915663,2.13210646820199,94.2201957891914,8.90289137196176
"Study2","6","10","d","Synchronous",3.79611840005935,95.1574154751172,261,11.8514615481119,2.62018488391162,98.6109362330081,15.8613901490603
"Study2","6","10","d","TurnTaking",0.850360653330578,84.6954605751287,114,4.25457420374972,1.64825286933473,89.3293162758279,4.66326291079812
"Study2","6","5","a","Conversation",0.799083200439587,87.3932288551262,97,4.79343832020997,1.86706302502207,92.051680823065,5.71579260139652
"Study2","6","5","a","Synchronous",0.60764355249123,79.3656786860487,66,4.21594517800435,1.62951202919334,86.9548801208231,5.40927774515561
"Study2","6","5","a","TurnTaking",1.11538975548379,87.7337630058794,107,6.56613213598461,2.1814051025544,94.09143111812,8.78975180144115
"Study2","6","5","b","Conversation",4.93724247753839,96.0764571941944,185,13.1501563576615,2.68148180602504,97.2029461422885,15.9545541219094
"Study2","6","5","b","Synchronous",15.7195410113512,99.3006482686484,458,43.529537214758,3.60264895217592,99.6397426385629,81.890043982407
"Study2","6","5","b","TurnTaking",2.25020452667871,92.4643567216681,133,6.13894059908614,2.01474978855165,94.5706663041447,7.29001833900969
"Study2","6","5","c","Conversation",2.74584833307172,94.9282123410714,142,8.61946007460327,2.32878838333178,98.6408388920609,15.4826229508197
"Study2","6","5","c","Synchronous",1.1653097515682,91.7309269893355,99,5.70859710026547,1.94402233893574,98.6201804757998,12.4578238341969
"Study2","6","5","c","TurnTaking",4.35357428892684,96.2390429848754,210,10.495904976292,2.46553336296117,98.7369789379381,16.3502290742491
"Study2","6","5","d","Conversation",2.30591761307854,93.6637702308305,143,8.60627761694347,2.26143297420529,97.9197068187848,15.3315591328054
"Study2","6","5","d","Synchronous",7.34984472414853,91.5952177803675,164,8.33051007854642,2.10142324445521,99.0346596466402,24.2384287260457
"Study2","6","5","d","TurnTaking",0.832426928195697,84.5242196651278,115,4.88141663350577,1.85079936992934,90.8449895495992,5.75567520372526
"Study2","6","7","a","Conversation",1.48014413514611,93.9586912435253,89,7.35787983006272,2.22722651017512,97.6400532182854,13.7386404943657
"Study2","6","7","a","Synchronous",1.17750774371751,90.7108527635254,149,6.82553451435553,2.13629650591136,97.2397220237709,10.601522393344
"Study2","6","7","a","TurnTaking",2.06054295595588,93.1319242117765,121,8.2583511601119,2.33419640365624,97.786107966671,13.1193825469937
"Study2","6","7","b","Conversation",3.43883959238822,95.1741315660721,148,10.5662613418925,2.4329805704151,96.6068807543477,12.9934195767591
"Study2","6","7","b","Synchronous",6.876665871949,97.9606589281991,296,17.7385087851785,2.82129854370947,99.1431153124348,25.3244087777857
"Study2","6","7","b","TurnTaking",1.54581827783088,87.8976401325879,137,5.11236601683332,1.79289552064277,89.8728541037946,5.50985744616318
"Study2","6","7","c","Conversation",1.51260838384443,92.4919421095873,95,6.3564107018763,2.11496294182397,97.5225936927258,9.94906511927788
"Study2","6","7","c","Synchronous",1.28595133536467,89.145108534047,96,6.15911658962506,2.07120136610364,99.4052928932501,8.81476598549769
"Study2","6","7","c","TurnTaking",1.45362592964282,89.314744179929,107,6.2128087831656,2.09957206226831,99.7829804024727,9.52240492029622
"Study2","6","7","d","Conversation",4.0353367037775,95.889852792768,197,13.2046714947478,2.65689218380647,97.422570512122,16.3426323319027
"Study2","6","7","d","Synchronous",8.64814700454213,97.5159728516791,380,16.1448702463307,2.83851776641352,99.0387548913404,20.2084987369181
"Study2","6","7","d","TurnTaking",2.22297891410721,92.5208566268169,131,7.44250726442507,2.1372419740294,94.3269975058055,7.91984402079723
"Study2","6","8","a","Conversation",2.14271689052914,95.8294667713613,114,9.74219883889695,2.4048984438257,97.9227639374688,21.8352566653402
"Study2","6","8","a","Synchronous",1.56357993097619,88.3787187733092,91,6.16961160904823,1.9543116315805,96.3243296120126,12.3704459798995
"Study2","6","8","a","TurnTaking",1.91137566011117,91.8327131596847,148,7.59991721854305,2.24967728565396,95.8788460769015,10.2768307065509
"Study2","6","8","b","Conversation",5.05897385060213,96.1478138947782,207,13.1355844692276,2.61630571296795,96.8462186747694,14.9604763850779
"Study2","6","8","b","Synchronous",14.3839755856614,98.7905653731383,562,27.1988582302569,3.26576647549953,99.1951723633754,32.6528112010501
"Study2","6","8","b","TurnTaking",3.29775968005317,92.1367075397861,123,6.9720979205054,2.13696978671914,92.9402556744065,7.30532263944586
"Study2","6","8","c","Conversation",2.59809585136345,95.1063360070645,121,8.08103545301069,2.23127441250372,98.8041798513504,18.0974524868581
"Study2","6","8","c","Synchronous",2.3099899834983,91.7837130962333,158,7.1836496728639,2.12003890027933,99.0804578674237,14.334810202371
"Study2","6","8","c","TurnTaking",3.63895931625474,94.0987017353978,231,10.0369311813495,2.49618999730637,99.5187331543469,20.2344834953531
"Study2","6","8","d","Conversation",5.78655157982161,98.0043481421274,192,20.2968386478719,2.82600329255625,98.7309107970052,23.8500279351904
"Study2","6","8","d","Synchronous",14.1407422688533,97.7874915665355,396,23.9851760960403,2.89978253561096,99.4598526526711,42.9156992007468
"Study2","6","8","d","TurnTaking",1.23188249242071,86.8528060591011,141,5.26642198381329,1.91709030344002,92.002421157189,6.82780465330569
"Study2","6","9","a","Conversation",0.893110983183022,89.8186800248325,98,5.70455472467709,1.93113633026595,95.3717380600689,8.94239261340827
"Study2","6","9","a","Synchronous",1.14703188245418,88.9005567223389,108,5.95256696428571,1.95618823828367,96.2412907957462,9.00764430577223
"Study2","6","9","a","TurnTaking",1.03577778164409,88.8214120904476,93,5.93841786992472,2.0540756384984,94.741116751269,7.46017441860465
"Study2","6","9","b","Conversation",3.44945069841153,95.0659298632627,138,9.26718175923925,2.37305972964857,96.4166745187591,13.1753389381201
"Study2","6","9","b","Synchronous",6.56712748182776,97.9079144649694,309,18.3619437619438,2.8551505840918,99.0858407208466,26.0581119362989
"Study2","6","9","b","TurnTaking",1.09542940469401,89.3219303604154,134,6.18079710144927,1.85751013741162,91.5961253163452,6.91618344754876
"Study2","6","9","c","Conversation",1.82843696113984,94.5354162745467,116,8.26021014161718,2.31297573148622,98.1669699061003,12.9170335718217
"Study2","6","9","c","Synchronous",1.11913710103436,89.4405056803622,96,5.54714981987709,1.95582293242351,97.2734261552917,8.86486065701386
"Study2","6","9","c","TurnTaking",1.56497562600268,91.8525667652161,129,7.12586484693394,2.1707220164176,98.5144281281306,9.60204810669207
"Study2","6","9","d","Conversation",1.22142433927702,91.3359943648744,109,6.96217635127073,2.1169774996545,94.2333881192768,8.7058568329718
"Study2","6","9","d","Synchronous",5.51079665698539,96.2030981664267,354,12.0766081616654,2.3343884954258,98.7839783509983,19.3825731790334
"Study2","6","9","d","TurnTaking",0.648424614018628,83.3672416334955,135,4.14392495969515,1.66699927353525,88.6392451717529,4.66294400496355
"Study2","7","10","a","Conversation",2.82314689460724,95.5634866349273,201,9.33267195767196,2.47358530476917,97.8965332755433,12.4455445544554
"Study2","7","10","a","Synchronous",2.39774669817751,93.9303569862293,205,8.975845778726,2.34307475199632,96.4859541826475,11.2238196827753
"Study2","7","10","a","TurnTaking",3.26353647323927,94.3261372623685,190,9.21215242018538,2.4363977070218,96.326781686634,11.1489693517765
"Study2","7","10","b","Conversation",5.02157687153621,96.7511526878282,213,12.8730496453901,2.70323310673209,98.1583646491298,15.3513159461713
"Study2","7","10","b","Synchronous",4.65967123925673,96.4914368245267,278,12.4203549170804,2.68487164782834,98.3784537867535,14.7357875975662
"Study2","7","10","b","TurnTaking",5.12290815428128,97.1800393361374,224,14.8227358114647,2.85959996889207,98.2089741628009,16.9630632372849
"Study2","7","10","c","Conversation",4.57675165939535,96.9270744127562,250,12.1906688383334,2.71897229384379,99.5459121651259,17.6618737029351
"Study2","7","10","c","Synchronous",3.947694703758,96.5914209193187,195,10.7243641447545,2.50088839666037,99.1839363809395,12.8132390665082
"Study2","7","10","c","TurnTaking",7.01705749632579,97.7077418546229,264,16.909746781723,2.93284609482017,99.1866883913051,21.0545401966455
"Study2","7","10","d","Conversation",3.14763642871086,94.8090601519744,190,9.62965019433648,2.4178889028385,97.185861886742,12.1147876126297
"Study2","7","10","d","Synchronous",2.69359580557318,94.2087518188594,242,9.70006577504933,2.39104609935383,97.994108670192,12.2959565372284
