"study","group","trial","condition",".groups","time","HR1","HR2","Resp1","Resp2","Resp1S","Resp2S","HR1S","HR2S"
"Study2","G8","T3","Conversation","1",22.856858,85.3921987941717,82.1918,3.62143361772875,5.27633114166191,-0.2411517895772,-0.0120377022635471,0.400192449146254,-0.892085637190951
"Study2","G8","T3","Conversation","2",22.858524,85.3921987941717,82.1918,3.62143361772875,5.27633114166191,-0.2411517895772,-0.0120377022635471,0.400192449146254,-0.892085637190951
"Study2","G8","T3","Conversation","3",22.860191,85.3921987941717,82.1918,3.62143361772875,5.27633114166191,-0.2411517895772,-0.0120377022635471,0.400192449146254,-0.892085637190951
"Study2","G8","T3","Conversation","4",22.861857,85.3921987941717,82.1918,3.62143361772875,5.27633114166191,-0.2411517895772,-0.0120377022635471,0.400192449146254,-0.892085637190951
"Study2","G8","T3","Conversation","5",22.863525,85.3921987941717,82.1918,3.62143361772875,5.27633114166191,-0.2411517895772,-0.0120377022635471,0.400192449146254,-0.892085637190951
"Study2","G8","T3","Conversation","6",22.865192,85.3921987941717,82.1918,3.62143361772875,5.27633114166191,-0.2411517895772,-0.0120377022635471,0.400192449146254,-0.892085637190951
"Study2","G8","T3","Conversation","7",22.866859,85.3921987941717,82.1918,3.62143361772875,5.27633114166191,-0.2411517895772,-0.0120377022635471,0.400192449146254,-0.892085637190951
"Study2","G8","T3","Conversation","8",22.868525,85.3921987941717,82.1918,3.62143361772875,5.27633114166191,-0.2411517895772,-0.0120377022635471,0.400192449146254,-0.892085637190951
"Study2","G8","T3","Conversation","9",22.870193,85.3921987941717,82.1918,3.62143361772875,5.27633114166191,-0.2411517895772,-0.0120377022635471,0.400192449146254,-0.892085637190951
"Study2","G8","T3","Conversation","10",22.871859,85.3921987941717,82.1918,3.62143361772875,5.27633114166191,-0.2411517895772,-0.0120377022635471,0.400192449146254,-0.892085637190951
"Study2","G8","T3","Conversation","11",22.873523,85.3921987941717,82.1918,2.98919992797794,5.12543670191291,-1.52559831742255,-0.484329832845576,0.400192449146254,-0.892085637190951
"Study2","G8","T3","Conversation","12",22.875192,85.3921987941717,82.1918,2.8561161,4.6456481,-1.79597154101018,-1.98604441824282,0.400192449146254,-0.892085637190951
"Study2","G8","T3","Conversation","13",22.876858,85.3921987941717,82.1918,3.4205108,4.7473844,-0.649346765232975,-1.66761483286872,0.400192449146254,-0.892085637190951
"Study2","G8","T3","Conversation","14",22.878524,85.3921987941717,90.5241326756472,3.8748931,4.8121033,0.273776720608813,-1.4650478779778,0.400192449146254,-0.557292584796204
"Study2","G8","T3","Conversation","15",22.880191,85.3921987941717,105.337168543464,4.082837,4.8802489,0.696235733267395,-1.25175552163037,0.400192449146254,0.0378950639055689
"Study2","G8","T3","Conversation","16",22.881859,85.3921987941717,105.337168543464,4.0213868,4.9834441,0.571393452153728,-0.928759651438528,0.400192449146254,0.0378950639055689
"Study2","G8","T3","Conversation","17",22.883526,85.3921987941717,105.337168543464,3.7696198,5.1100586,0.0599033904591386,-0.532462530967762,0.400192449146254,0.0378950639055689
"Study2","G8","T3","Conversation","18",22.885192,85.3921987941717,105.337168543464,3.4288666,5.2023163,-0.632371114502309,-0.243700494619197,0.400192449146254,0.0378950639055689
"Study2","G8","T3","Conversation","19",22.886859,85.3921987941717,105.337168543464,3.0842864,5.2340863,-1.3324205560762,-0.144261966509414,0.400192449146254,0.0378950639055689
"Study2","G8","T3","Conversation","20",22.888526,85.3921987941717,106.945744722164,2.8696411,5.2124971,-1.76849413895026,-0.211835094336536,0.400192449146254,0.102527640380844
"Study2","G8","T3","Conversation","21",22.890193,85.3921987941717,111.524,2.8546607,5.1350008,-1.79892833294792,-0.454394679037645,0.400192449146254,0.286481896502782
"Study2","G8","T3","Conversation","22",22.891857,85.3921987941717,111.524,3.0494015,5.0285797,-1.40329275002223,-0.787487456621029,0.400192449146254,0.286481896502782
"Study2","G8","T3","Conversation","23",22.893524,85.3921987941717,111.524,3.3289945,4.9392272,-0.835271361915863,-1.06715636071072,0.400192449146254,0.286481896502782
"Study2","G8","T3","Conversation","24",22.895192,85.3921987941717,114.542,3.5605497,4.8602416,-0.36484361112365,-1.31437738072545,0.400192449146254,0.407745109514001
"Study2","G8","T3","Conversation","25",22.896858,85.3921987941717,136.674,3.7543521,4.7653078,0.0288855175252973,-1.61151547766812,0.400192449146254,1.29700867159628
"Study2","G8","T3","Conversation","26",22.898523,85.3921987941717,136.674,3.9795532,4.6701108,0.486404273091711,-1.90947737758839,0.400192449146254,1.29700867159628
"Study2","G8","T3","Conversation","27",22.900193,85.3921987941717,136.674,4.1710972,4.5945039,0.875545234286898,-2.1461232337717,0.400192449146254,1.29700867159628
