"study","group","trial","condition",".groups","time","HR1","HR2","Resp1","Resp2","Resp1S","Resp2S","HR1S","HR2S"
"Study2","G10","T1","Conversation","1",11.010608,112.631983670901,105.452681266328,2.4388008,4.1694515,-0.539286183764427,0.325281211427532,0.0102873364024959,0.0540525662561179
"Study2","G10","T1","Conversation","2",11.012275,112.631983670901,105.452681266328,2.4498995,4.1280123,-0.508642760808174,0.268463906468466,0.0102873364024959,0.0540525662561179
"Study2","G10","T1","Conversation","3",11.013941,112.631983670901,105.452681266328,2.4559887,4.0948796,-0.491830527747976,0.223035647235247,0.0102873364024959,0.0540525662561179
"Study2","G10","T1","Conversation","4",11.015607,112.631983670901,105.452681266328,2.4639435,4.0816295,-0.469867387836778,0.204868429421241,0.0102873364024959,0.0540525662561179
"Study2","G10","T1","Conversation","5",11.017277,112.631983670901,105.452681266328,2.4762699,4.0231382,-0.435834294886435,0.124670982811456,0.0102873364024959,0.0540525662561179
"Study2","G10","T1","Conversation","6",11.018943,112.631983670901,105.452681266328,2.4777836,3.9188352,-0.431654981153396,-0.0183389053897022,0.0102873364024959,0.0540525662561179
"Study2","G10","T1","Conversation","7",11.020607,112.631983670901,105.452681266328,2.4632632,3.799664,-0.471745690758484,-0.181734589011438,0.0102873364024959,0.0540525662561179
"Study2","G10","T1","Conversation","8",11.022275,112.631983670901,105.452681266328,2.4513854,3.6704164,-0.504540202655354,-0.35894602901094,0.0102873364024959,0.0540525662561179
"Study2","G10","T1","Conversation","9",11.023941,112.631983670901,105.452681266328,2.4514984,3.5558504,-0.504228210548705,-0.516027520930193,0.0102873364024959,0.0540525662561179
"Study2","G10","T1","Conversation","10",11.025609,112.631983670901,105.452681266328,2.4600747,3.562637,-0.480549114050944,-0.506722410748646,0.0102873364024959,0.0540525662561179
"Study2","G10","T1","Conversation","11",11.027276,112.631983670901,105.452681266328,2.458963,3.4211093,-0.483618508962101,-0.70077110114458,0.0102873364024959,0.0540525662561179
"Study2","G10","T1","Conversation","12",11.028942,112.631983670901,105.452681266328,2.4671973,2.9008032,-0.460883671760565,-1.41416301883996,0.0102873364024959,0.0540525662561179
"Study2","G10","T1","Conversation","13",11.030607,112.631983670901,105.452681266328,2.5143881,2.96082802137408,-0.330590246040077,-1.33186296041401,0.0102873364024959,0.0540525662561179
"Study2","G10","T1","Conversation","14",11.032275,112.631983670901,105.452681266328,2.6042109,3.88655205343519,-0.0825902053582871,-0.0626023415422054,0.0102873364024959,0.0540525662561179
"Study2","G10","T1","Conversation","15",11.033941,112.631983670901,105.452681266328,2.6948883,3.88655205343519,0.167769379167235,-0.0626023415422054,0.0102873364024959,0.0540525662561179
"Study2","G10","T1","Conversation","16",11.035609,112.631983670901,105.452681266328,2.758057,3.86920443290084,0.342177660470153,-0.0863876715247925,0.0102873364024959,0.0540525662561179
"Study2","G10","T1","Conversation","17",11.037276,112.631983670901,105.452681266328,2.7952386,2.2772218,0.444835764121054,-2.26915574482408,0.0102873364024959,0.0540525662561179
"Study2","G10","T1","Conversation","18",11.03894,112.631983670901,105.452681266328,2.8075263,2.5783538,0.478762006677349,-1.85627352999046,0.0102873364024959,0.0540525662561179
"Study2","G10","T1","Conversation","19",11.040608,112.631983670901,105.452681266328,2.7943539,2.9412445,0.442393114415286,-1.35871393500047,0.0102873364024959,0.0540525662561179
"Study2","G10","T1","Conversation","20",11.042275,112.631983670901,105.452681266328,2.7502255,3.3085359,0.320554950884174,-0.855120538346044,0.0102873364024959,0.0540525662561179
