"study","group","trial","condition",".groups","time","HR1","HR2","Resp1","Resp2","Resp1S","Resp2S","HR1S","HR2S"
"Study2","G7","T1","Conversation","1",16.605323,103.453,100.899776337599,-1.4543852,-3.2209996,-1.33110143476359,-0.872778123223791,0.118050676613225,0.14239896030144
"Study2","G7","T1","Conversation","2",16.606992,103.453,100.899776337599,-1.662042,-4.2603305,-1.45021416049399,-1.54417118423975,0.118050676613225,0.14239896030144
"Study2","G7","T1","Conversation","3",16.608658,103.453,100.899776337599,-1.83934,-4.35764420556723,-1.55191296374315,-1.60703446162291,0.118050676613225,0.14239896030144
"Study2","G7","T1","Conversation","4",16.610323,103.453,100.899776337599,-1.942767,-2.30275001590637,-1.61123908205047,-0.279601879698988,0.118050676613225,0.14239896030144
"Study2","G7","T1","Conversation","5",16.611991,103.453,100.899776337599,-1.9754382,-2.30275001590637,-1.62997940591601,-0.279601879698988,0.118050676613225,0.14239896030144
"Study2","G7","T1","Conversation","6",16.61366,103.453,100.899776337599,-1.9782631,-2.30275001590637,-1.63159977923832,-0.279601879698988,0.118050676613225,0.14239896030144
"Study2","G7","T1","Conversation","7",16.615325,103.453,100.899776337599,-1.976016,-2.30275001590637,-1.63031083418095,-0.279601879698988,0.118050676613225,0.14239896030144
"Study2","G7","T1","Conversation","8",16.616992,100.298399,100.899776337599,-1.9722811,-2.30275001590637,-1.6281684814175,-0.279601879698988,-0.190279839399672,0.14239896030144
"Study2","G7","T1","Conversation","9",16.618659,99.0099,100.899776337599,-1.9542207,-4.33541230731693,-1.61780896768242,-1.59267296980306,-0.316217655799307,0.14239896030144
"Study2","G7","T1","Conversation","10",16.620326,99.0099,100.899776337599,-1.8640811,-5.2319642,-1.56610455226117,-2.17183281157062,-0.316217655799307,0.14239896030144
"Study2","G7","T1","Conversation","11",16.621991,99.0099,100.899776337599,-1.5598356,-4.4977904,-1.39158818296235,-1.69756692098686,-0.316217655799307,0.14239896030144
"Study2","G7","T1","Conversation","12",16.623657,99.0099,105.27003290128,-0.9991426,-4.0399173,-1.06997255791199,-1.40178737458267,-0.316217655799307,0.484124118424808
"Study2","G7","T1","Conversation","13",16.625324,99.0099,107.143,-0.26157532847,-3.7792299,-0.646901181865177,-1.23338700136727,-0.316217655799307,0.630577757620538
"Study2","G7","T1","Conversation","14",16.626992,99.0099,107.143,0.43070987,-3.622467,-0.249803774158918,-1.13212038523497,-0.316217655799307,0.630577757620538
"Study2","G7","T1","Conversation","15",16.628658,99.0099,107.143,0.90633847,-3.5095183,0.0230185893819691,-1.05915712259093,-0.316217655799307,0.630577757620538
"Study2","G7","T1","Conversation","16",16.630324,99.0099,107.143,1.1657986,-3.4419466,0.171845901093724,-1.01550676013076,-0.316217655799307,0.630577757620538
"Study2","G7","T1","Conversation","17",16.631993,99.0099,108.86992,1.2733826,-3.4444432,0.233556490320661,-1.01711952841864,-0.316217655799307,0.765611479661183
"Study2","G7","T1","Conversation","18",16.63366,98.635659,111.94,1.2516477,-3.4885954,0.221089269490532,-1.04564122512619,-0.352795949105871,1.00567142995567
"Study2","G7","T1","Conversation","19",16.635325,98.4828,111.94,1.07624164,-3.5218326,0.120475690179712,-1.06711198621643,-0.3677363787663,1.00567142995567
"Study2","G7","T1","Conversation","20",16.636992,98.4828,111.94,0.7960693,-3.459506,-0.0402322235108886,-1.02684988416912,-0.3677363787663,1.00567142995567
"Study2","G7","T1","Conversation","21",16.63866,98.4828,111.94,0.58235468,-3.2982819,-0.162819737700831,-0.922701395936412,-0.3677363787663,1.00567142995567
"Study2","G7","T1","Conversation","22",16.640324,98.4828,112.45675,0.54931638,-3.1113798,-0.181770631514561,-0.801965282895502,-0.3677363787663,1.04607786213811
"Study2","G7","T1","Conversation","23",16.641991,98.4828,115.385,0.61873777,-2.9428649,-0.141950259694839,-0.693107040984482,-0.3677363787663,1.27504764450528
"Study2","G7","T1","Conversation","24",16.643658,98.4828,115.385,0.67307743,-2.8041415,-0.110780825234405,-0.60349368669997,-0.3677363787663,1.27504764450528
"Study2","G7","T1","Conversation","25",16.645324,98.4828,115.385,0.69445789,-2.6699368,-0.0985169125285845,-0.516799348702583,-0.3677363787663,1.27504764450528
"Study2","G7","T1","Conversation","26",16.646992,98.4828,115.385,0.68858635,-2.6202388,-0.101884850075706,-0.484695143635294,-0.3677363787663,1.27504764450528
"Study2","G7","T1","Conversation","27",16.648658,98.4828,106.114456856063,0.62974859,-2.6057495,-0.135634411705624,-0.475335260773177,-0.3677363787663,0.550152486614824
"Study2","G7","T1","Conversation","28",16.650326,101.40522998855,100.899776337599,0.5433441,-2.4743443,-0.185196353906629,-0.390449360179425,-0.0820982437434545,0.14239896030144
"Study2","G7","T1","Conversation","29",16.651993,102.598898575423,100.899776337599,0.42449642,-2.0110292,-0.253367832574966,-0.091154358747337,0.0345708536602436,0.14239896030144
"Study2","G7","T1","Conversation","30",16.653659,102.598898575423,100.899776337599,0.27072753,-1.15163912,-0.341570249353222,0.463999477646777,0.0345708536602436,0.14239896030144
"Study2","G7","T1","Conversation","31",16.655325,102.598898575423,100.899776337599,0.18591007,-0.1633728398,-0.390221865144902,1.10240551653423,0.0345708536602436,0.14239896030144
"Study2","G7","T1","Conversation","32",16.656992,102.598898575423,103.552664360207,0.23883972,0.71360142,-0.359861217752395,1.66891848436702,0.0345708536602436,0.349837257298313
"Study2","G7","T1","Conversation","33",16.658658,102.598898575423,116.505,0.35271305,1.3756195,-0.294543045054472,2.09657280040737,0.0345708536602436,1.36262423675364
"Study2","G7","T1","Conversation","34",16.660323,102.598898575423,116.505,0.4535126,-0.610409009225693,-0.23672404200281,0.813626474002574,0.0345708536602436,1.36262423675364
"Study2","G7","T1","Conversation","35",16.661991,102.598898575423,116.505,0.47718818,-2.30275001590637,-0.223143639786035,-0.279601879698988,0.0345708536602436,1.36262423675364
"Study2","G7","T1","Conversation","36",16.663658,102.598898575423,116.505,0.268927046,-2.30275001590637,-0.34260301378412,-0.279601879698988,0.0345708536602436,1.36262423675364
"Study2","G7","T1","Conversation","37",16.665324,102.598898575423,115.70342,-0.1635986439,-2.30275001590637,-0.590701385098777,-0.279601879698988,0.0345708536602436,1.29994598245503
"Study2","G7","T1","Conversation","38",16.666992,106.510360586873,113.422,-0.58314513,-2.30275001590637,-0.831354836033132,-0.279601879698988,0.416876920372075,1.12155402791286
"Study2","G7","T1","Conversation","39",16.668659,108.108,113.422,-0.70975956,-2.30275001590637,-0.903981351871293,-0.279601879698988,0.573030102550147,1.12155402791286
"Study2","G7","T1","Conversation","40",16.670326,108.108,113.422,-0.5642059,-2.30275001590637,-0.820491222086779,-0.279601879698988,0.573030102550147,1.12155402791286
"Study2","G7","T1","Conversation","41",16.671992,108.108,113.422,-0.38000185,-2.30275001590637,-0.714831082442519,-0.279601879698988,0.573030102550147,1.12155402791286
"Study2","G7","T1","Conversation","42",16.673659,108.108,116.94773,-0.33978574,1.35753519856843,-0.691762969670032,2.08489059746846,0.573030102550147,1.39724279450909
"Study2","G7","T1","Conversation","43",16.675324,108.108,122.951,-0.45662535,1.4885046,-0.758782611792889,2.16949497835098,0.573030102550147,1.86665880249727
