"study","group","trial","condition",".groups","time","HR1","HR2","Resp1","Resp2","Resp1S","Resp2S","HR1S","HR2S"
"Study2","G6","T2","Conversation","1",14.166125,151.97673,111.111,3.4035861,5.4588687,-1.61914730708339,-0.49881251357297,1.255443898575,0.767362138552056
"Study2","G6","T2","Conversation","2",14.167791,133.482,111.111,3.4285551,5.5967226,-1.58771201813409,-0.0129037663354337,0.590201019244878,0.767362138552056
"Study2","G6","T2","Conversation","3",14.169458,133.482,111.111,3.457431,5.6893709,-1.55135804880528,0.313663848992735,0.590201019244878,0.767362138552056
"Study2","G6","T2","Conversation","4",14.171124,133.482,111.111,3.4841733,5.7255087,-1.51769022359526,0.44104271260066,0.590201019244878,0.767362138552056
"Study2","G6","T2","Conversation","5",14.172793,133.482,121.01244,3.4621553,5.717276,-1.54541028415378,0.41202401277873,0.590201019244878,1.16443132767783
"Study2","G6","T2","Conversation","6",14.174459,133.482,147.783,3.4159605,5.6760587,-1.60356827550126,0.266740878913721,0.590201019244878,2.23798876494383
"Study2","G6","T2","Conversation","7",14.176124,133.482,111.628561867792,3.3788059,5.6199737,-1.65034490198994,0.0690519336693896,0.590201019244878,0.788117490416702
"Study2","G6","T2","Conversation","8",14.177792,133.482,97.5685025941559,3.3612169,5.5603881,-1.67248897253058,-0.14097595998757,0.590201019244878,0.224278661433931
"Study2","G6","T2","Conversation","9",14.179458,133.482,97.5685025941559,3.3549411,5.4906129,-1.68039003330145,-0.386920253331816,0.590201019244878,0.224278661433931
"Study2","G6","T2","Conversation","10",14.181125,133.482,97.5685025941559,3.3393864,5.4180424,-1.69997297571083,-0.642717446892549,0.590201019244878,0.224278661433931
"Study2","G6","T2","Conversation","11",14.182793,132.28861,97.5685025941559,3.3326448,5.359863,-1.70846046595796,-0.847788753319365,0.547275591311419,0.224278661433931
"Study2","G6","T2","Conversation","12",14.184459,127.201,97.5685025941559,3.3623567,5.3260136,-1.67105399546524,-0.967101442686459,0.364277714331937,0.224278661433931
"Study2","G6","T2","Conversation","13",14.186123,127.201,97.5685025941559,3.440009,5.3268031,-1.57329187090767,-0.96431860552375,0.364277714331937,0.224278661433931
"Study2","G6","T2","Conversation","14",14.187792,127.201,95.885045764026,3.5920258,5.3720769,-1.38190687218333,-0.804737081601086,0.364277714331937,0.156768396415114
"Study2","G6","T2","Conversation","15",14.189459,127.201,92.3077,3.7960879,5.4458952,-1.12499826242318,-0.544541630647542,0.364277714331937,0.013309083250126
"Study2","G6","T2","Conversation","16",14.191125,127.201,92.3077,4.0142517,5.5165765,-0.850335997563646,-0.295403507343662,0.364277714331937,0.013309083250126
"Study2","G6","T2","Conversation","17",14.192792,127.201,92.3077,4.2513429,5.5592718,-0.551844653123074,-0.144910704920728,0.364277714331937,0.013309083250126
