"","Resp1","Resp2","HR1","HR2","Resp1S","Resp2S","HR1S","HR2S"
"1",1.1387999,3.6216949,81.4667,95.9706808204966,0.605043797087298,1.25321393571732,1.20483303207536,-0.0861122067309836
"2",1.0655,3.8811254,81.4667,95.9706808204966,0.496886646529142,1.53297664916097,1.20483303207536,-0.0861122067309836
"3",0.97697769,4.0566371,81.4667,95.9706808204966,0.366268176238926,1.72224363755713,1.20483303207536,-0.0861122067309836
"4",0.96851207,4.1641787,81.4667,95.9706808204966,0.353776790344701,1.83821354018644,1.20483303207536,-0.0861122067309836
"5",1.1310577,4.221368,81.4667,95.9706808204966,0.593619848472752,1.89988490784731,1.20483303207536,-0.0861122067309836
"6",1.4430692,4.2319427,84.579788,95.9706808204966,1.05400621709503,1.91128837338375,1.42602517849007,-0.0861122067309836
"7",1.8081693,4.1921448,86.3309,95.9706808204966,1.59272709508392,1.86837141299028,1.55044576084834,-0.0861122067309836
"8",1.38363940724973,4.1143738,86.3309,95.9706808204966,0.966315005481762,1.78450530631729,1.55044576084834,-0.0861122067309836
"9",0.704790814499452,4.0125924,86.3309,95.9706808204966,-0.0353552485333702,1.6747470448866,1.55044576084834,-0.0861122067309836
"10",0.704790814499452,3.9008759,86.3309,95.9706808204966,-0.0353552485333702,1.55427504496204,1.55044576084834,-0.0861122067309836
"11",0.704790814499452,3.7811154,86.3309,95.9706808204966,-0.0353552485333702,1.42512861675345,1.55044576084834,-0.0861122067309836
"12",0.704790814499452,3.6541384,86.3309,95.9706808204966,-0.0353552485333702,1.28820011349367,1.55044576084834,-0.0861122067309836
"13",0.704790814499452,3.5482882,86.3309,95.9706808204966,-0.0353552485333702,1.17405417008859,1.55044576084834,-0.0861122067309836
"14",0.704790814499452,3.4700625,86.3309,95.9706808204966,-0.0353552485333702,1.08969772744584,1.55044576084834,-0.0861122067309836
"15",0.704790814499452,3.3981936,86.3309,95.9706808204966,-0.0353552485333702,1.01219628302735,1.55044576084834,-0.0861122067309836
"16",0.704790814499452,3.3009826,86.857492,95.9706808204966,-0.0353552485333702,0.907366615210453,1.58786134780406,-0.0861122067309836
"17",2.02530002443498,3.1618192,87.1537,95.9706808204966,1.91311280438934,0.757296633477215,1.60890761546665,-0.0861122067309836
"18",1.9254636,3.0225712,87.1537,95.9706808204966,1.765799872328,0.607135421431591,1.60890761546665,-0.0861122067309836
"19",1.8436675,2.914069,87.1537,95.9706808204966,1.64510621377226,0.490129634191439,1.60890761546665,-0.0861122067309836
"20",1.7524319,2.8224756,87.1537,95.9706808204966,1.51048416755578,0.39135783165654,1.60890761546665,-0.0861122067309836
"21",1.6472686,2.7055147,87.1537,98.0738976984596,1.35531120181786,0.265230415062068,1.60890761546665,0.269683205066109
"22",1.5606136,2.5312715,87.1537,98.3607,1.22744802763049,0.077331342165451,1.60890761546665,0.318200761220257
"23",1.5149753,2.2863829,87.1537,98.3607,1.16010675589181,-0.186749786412022,1.60890761546665,0.318200761220257
"24",1.477478,2.0674958,87.1537,98.3607,1.10477787929546,-0.422791612773274,1.60890761546665,0.318200761220257
"25",1.3948058,1.9385279,87.1537,98.3607,0.982791497562691,-0.561867047817073,1.60890761546665,0.318200761220257
"26",1.301782,1.864694,83.691428,98.3607,0.845530885446006,-0.641487494172176,1.3629051333166,0.318200761220257
"27",1.2361204,1.8247166,81.7439,96.570978,0.748644374590064,-0.684598022427036,1.2245287371072,0.0154384152804318
"28",1.1884122,1.8167678,81.7439,90.2256,0.678248876502637,-0.693169789650323,1.2245287371072,-1.0579917203244
"29",1.1536866,1.819263,81.7439,90.2256,0.627009762296174,-0.690479034621193,1.2245287371072,-1.0579917203244
"30",1.1446548,1.8054992,81.7439,90.2256,0.613682953495464,-0.705321537855376,1.2245287371072,-1.0579917203244
"31",1.1654511,1.8243774,81.7439,90.2256,0.64436878731178,-0.684963806374567,1.2245287371072,-1.0579917203244
"32",1.1902403,1.9396822,81.7439,90.2256,0.680946316566476,-0.560622282455529,1.2245287371072,-1.0579917203244
"33",1.1476346,2.1560119,81.7439,90.2256,0.618079776372892,-0.327338285892086,1.2245287371072,-1.0579917203244
"34",1.0558195,2.4728457,81.7439,90.55866,0.482602653017851,0.0143265669246204,1.2245287371072,-1.00164887660973
"35",0.98279112,2.8346772,81.7439,90.7716,0.374846141881025,0.404515701391802,1.2245287371072,-0.96562640275936
"36",0.88689274,3.1333253,76.602268,90.7716,0.233343963515935,0.726569595674828,0.859203819162535,-0.96562640275936
"37",0.7792572,3.2874543,73.7101,90.7716,0.0745231014794464,0.892778068696917,0.653708552818661,-0.96562640275936
"38",0.69634704,3.2861488,73.7101,90.7716,-0.0478144004533094,0.891370253415365,0.653708552818661,-0.96562640275936
"39",0.66805109,3.1404326,73.7101,90.7716,-0.0895662899420544,0.73423391245045,0.653708552818661,-0.96562640275936
"40",0.66855466,2.8405031,73.7101,91.17816,-0.0888232507795648,0.410798191662805,0.653708552818661,-0.896849766295543
"41",0.64816589,2.4357599,73.7101,93.3126,-0.118907756578149,-0.0256657394473321,0.653708552818661,-0.535772424860504
"42",0.62076718,2.0180207,73.7101,93.3126,-0.159335729911936,-0.476144199396267,0.653708552818661,-0.535772424860504
"43",0.61181627,1.7218018,73.7101,93.3126,-0.172543182043555,-0.795578511234293,0.653708552818661,-0.535772424860504
"44",0.64597783,1.6999972,73.7101,93.3126,-0.122136333081667,-0.819091991960551,0.653708552818661,-0.535772424860504
"45",0.68092038,2.028726,73.7101,93.3126,-0.0705770998325648,-0.464599898413043,0.653708552818661,-0.535772424860504
"46",0.66239016,2.5858706,71.979412,93.3126,-0.0979192352845335,0.136209509410943,0.530739143186113,-0.535772424860504
