"","Resp1","Resp2","HR1","HR2","Resp1S","Resp2S","HR1S","HR2S"
"1",1.4774385,3.6216949,110.442,95.9706808204966,-0.937119856464338,1.25321393571732,-1.14191582684623,-0.0861122067309836
"2",1.3736085,3.8811254,110.442,95.9706808204966,-1.02906578477775,1.53297664916097,-1.14191582684623,-0.0861122067309836
"3",1.2998837,4.0566371,110.442,95.9706808204966,-1.09435226436671,1.72224363755713,-1.14191582684623,-0.0861122067309836
"4",1.2834958,4.1641787,110.442,95.9706808204966,-1.10886445427913,1.83821354018644,-1.14191582684623,-0.0861122067309836
"5",1.3068176,4.221368,110.442,95.9706808204966,-1.08821199785094,1.89988490784731,-1.14191582684623,-0.0861122067309836
"6",1.3328457,4.2319427,110.442,95.9706808204966,-1.06516299643772,1.91128837338375,-1.14191582684623,-0.0861122067309836
"7",1.3635924,4.1921448,110.442,95.9706808204966,-1.03793547188726,1.86837141299028,-1.14191582684623,-0.0861122067309836
"8",1.3943357,4.1143738,110.442,95.9706808204966,-1.01071095818296,1.78450530631729,-1.14191582684623,-0.0861122067309836
"9",1.4202389,4.0125924,115.45316,95.9706808204966,-0.987772561088783,1.6747470448866,-0.904701208741898,-0.0861122067309836
"10",1.4327475,3.9008759,121.831,95.9706808204966,-0.976695658084823,1.55427504496204,-0.60279169479093,-0.0861122067309836
"11",1.4305522,3.7811154,121.831,95.9706808204966,-0.978639690603617,1.42512861675345,-0.60279169479093,-0.0861122067309836
"12",1.4279664,3.6541384,121.831,95.9706808204966,-0.980929527658734,1.28820011349367,-0.60279169479093,-0.0861122067309836
"13",1.4279846,3.5482882,121.831,95.9706808204966,-0.980913410776376,1.17405417008859,-0.60279169479093,-0.0861122067309836
"14",1.4292027,3.4700625,121.831,95.9706808204966,-0.979834730864225,1.08969772744584,-0.60279169479093,-0.0861122067309836
"15",1.4303601,3.3981936,121.831,95.9706808204966,-0.97880980341137,1.01219628302735,-0.60279169479093,-0.0861122067309836
"16",1.4177669,3.3009826,121.831,95.9706808204966,-0.989961623352009,0.907366615210453,-0.60279169479093,-0.0861122067309836
"17",1.4033756,3.1618192,121.831,95.9706808204966,-1.00270573813711,0.757296633477215,-0.60279169479093,-0.0861122067309836
"18",1.3920864,3.0225712,121.831,95.9706808204966,-1.01270281002304,0.607135421431591,-0.60279169479093,-0.0861122067309836
"19",1.3908721,2.914069,126.55924,95.9706808204966,-1.01377812487184,0.490129634191439,-0.378969736221332,-0.0861122067309836
"20",1.3997623,2.8224756,132.577,95.9706808204966,-1.0059054706111,0.39135783165654,-0.0941054253145714,-0.0861122067309836
"21",1.4056305,2.7055147,132.577,98.0738976984596,-1.0007089272563,0.265230415062068,-0.0941054253145714,0.269683205066109
"22",1.408482,2.5312715,132.577,98.3607,-0.998183801429609,0.077331342165451,-0.0941054253145714,0.318200761220257
"23",1.4090315,2.2863829,132.577,98.3607,-0.997697195558394,-0.186749786412022,-0.0941054253145714,0.318200761220257
"24",1.413341,2.0674958,132.577,98.3607,-0.99388094805703,-0.422791612773274,-0.0941054253145714,0.318200761220257
"25",1.4174532,1.9385279,132.577,98.3607,-0.99023941818695,-0.561867047817073,-0.0941054253145714,0.318200761220257
"26",1.4148891,1.864694,132.577,98.3607,-0.992510038959255,-0.641487494172176,-0.0941054253145714,0.318200761220257
"27",1.4143513,1.8247166,132.577,96.570978,-0.992986283977525,-0.684598022427036,-0.0941054253145714,0.0154384152804318
"28",1.4329346,1.8167678,132.577,90.2256,-0.976529972992003,-0.693169789650323,-0.0941054253145714,-1.0579917203244
"29",1.479053,1.819263,150.5906,90.2256,-0.935690147312244,-0.690479034621193,0.758609164657449,-1.0579917203244
"30",1.5386778,1.8054992,173.517,90.2256,-0.882889823836353,-0.705321537855376,1.84388227916729,-1.0579917203244
"31",1.5756289,1.8243774,173.517,90.2256,-0.850168036378953,-0.684963806374567,1.84388227916729,-1.0579917203244
"32",1.5754694,1.9396822,173.517,90.2256,-0.850309280485338,-0.560622282455529,1.84388227916729,-1.0579917203244
"33",1.5638487,2.1560119,173.517,90.2256,-0.86059990987137,-0.327338285892086,1.84388227916729,-1.0579917203244
"34",1.5527226,2.4728457,173.517,90.55866,-0.870452549696159,0.0143265669246204,1.84388227916729,-1.00164887660973
"35",1.5466833,2.8346772,173.517,90.7716,-0.87580060945599,0.404515701391802,1.84388227916729,-0.96562640275936
"36",1.5448548,3.1333253,173.517,90.7716,-0.877419824807248,0.726569595674828,1.84388227916729,-0.96562640275936
"37",1.5363425,3.2874543,173.517,90.7716,-0.884957832373291,0.892778068696917,1.84388227916729,-0.96562640275936
"38",1.5308113,3.2861488,173.517,90.7716,-0.889855947741558,0.891370253415365,1.84388227916729,-0.96562640275936
"39",1.5307959,3.1404326,146.51816,90.7716,-0.889869585103554,0.73423391245045,0.56583098568236,-0.96562640275936
"40",1.5346765,2.8405031,112.156,91.17816,-0.886433146989203,0.410798191662805,-1.06077975148028,-0.896849766295543
"41",1.5457459,2.4357599,112.156,93.3126,-0.876630717451762,-0.0256657394473321,-1.06077975148028,-0.535772424860504
"42",1.5481145,2.0180207,112.156,93.3126,-0.874533220333365,-0.476144199396267,-1.06077975148028,-0.535772424860504
"43",1.5425022,1.7218018,112.156,93.3126,-0.879503153237857,-0.795578511234293,-1.06077975148028,-0.535772424860504
"44",1.5372912,1.6999972,112.156,93.3126,-0.884117717741769,-0.819091991960551,-1.06077975148028,-0.535772424860504
"45",1.5320442,2.028726,112.156,93.3126,-0.888764161793204,-0.464599898413043,-1.06077975148028,-0.535772424860504
