"","Resp1","Resp2","HR1","HR2","Resp1S","Resp2S","HR1S","HR2S"
"1",2.5911804,3.6216949,118.11,95.9706808204966,-0.989888055757936,1.25321393571732,1.10510259041027,-0.0861122067309836
"2",2.301407,3.8811254,118.11,95.9706808204966,-1.24176933161598,1.53297664916097,1.10510259041027,-0.0861122067309836
"3",2.0405084,4.0566371,118.11,95.9706808204966,-1.46855161127856,1.72224363755713,1.10510259041027,-0.0861122067309836
"4",1.8088752,4.1641787,118.11,95.9706808204966,-1.66989537142729,1.83821354018644,1.10510259041027,-0.0861122067309836
"5",1.7100163,4.221368,118.11,95.9706808204966,-1.75582701961144,1.89988490784731,1.10510259041027,-0.0861122067309836
"6",1.8635557,4.2319427,118.11,95.9706808204966,-1.62236514917585,1.91128837338375,1.10510259041027,-0.0861122067309836
"7",2.2300142,4.1921448,118.11,95.9706808204966,-1.30382647540861,1.86837141299028,1.10510259041027,-0.0861122067309836
"8",2.6916502,4.1143738,113.192579969292,95.9706808204966,-0.902556156386901,1.78450530631729,0.517664298126593,-0.0861122067309836
"9",3.1147548,4.0125924,112.878702094991,95.9706808204966,-0.534778691411139,1.6747470448866,0.480168236916995,-0.0861122067309836
"10",3.369421,3.9008759,112.878702094991,95.9706808204966,-0.313413833995241,1.55427504496204,0.480168236916995,-0.0861122067309836
"11",3.4296637,3.7811154,112.878702094991,95.9706808204966,-0.261048751012698,1.42512861675345,0.480168236916995,-0.0861122067309836
"12",3.3274319,3.6541384,115.490555717893,95.9706808204966,-0.349912243028406,1.28820011349367,0.792182021045841,-0.0861122067309836
"13",3.1143919,3.5482882,127.389,95.9706808204966,-0.535094136910998,1.17405417008859,2.21357814874391,-0.0861122067309836
"14",2.8311432,3.4700625,127.389,95.9706808204966,-0.781303913036524,1.08969772744584,2.21357814874391,-0.0861122067309836
"15",2.5364253,3.3981936,127.389,95.9706808204966,-1.03748312296471,1.01219628302735,2.21357814874391,-0.0861122067309836
"16",2.2445471,3.3009826,127.389,95.9706808204966,-1.29119396533723,0.907366615210453,2.21357814874391,-0.0861122067309836
"17",1.9806304,3.1618192,127.389,95.9706808204966,-1.52059968413766,0.757296633477215,2.21357814874391,-0.0861122067309836
"18",1.7738004,3.0225712,127.389,95.9706808204966,-1.70038362664487,0.607135421431591,2.21357814874391,-0.0861122067309836
"19",1.6158478,2.914069,117.011089,95.9706808204966,-1.83768160642181,0.490129634191439,0.973825945913672,-0.0861122067309836
"20",1.4696866,2.8224756,91.6031,95.9706808204966,-1.96473008477401,0.39135783165654,-2.06142944722243,-0.0861122067309836
"21",1.3476379,2.7055147,91.6031,98.0738976984596,-2.07081912632446,0.265230415062068,-2.06142944722243,0.269683205066109
"22",1.2640717,2.5312715,91.6031,98.3607,-2.14345781943642,0.077331342165451,-2.06142944722243,0.318200761220257
"23",1.2213649,2.2863829,91.6031,98.3607,-2.18058007866316,-0.186749786412022,-2.06142944722243,0.318200761220257
"24",1.2633825,2.0674958,91.6031,98.3607,-2.1440568964232,-0.422791612773274,-2.06142944722243,0.318200761220257
"25",1.4047824,1.9385279,91.6031,98.3607,-2.02114710822939,-0.561867047817073,-2.06142944722243,0.318200761220257
